prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
156.239.51.0/24,N/A,AS397630,"['AS17561', 'AS8796', 'AS18013', 'AS54600', 'AS55020', 'AS395886', 'AS400619']",Medium,"The origin AS397630 does not have a direct organizational link to any of the authorized ASes, but the announced /24 is a more specific portion of a larger /22 block that is also announced by authorized AS400619, indicating a possible delegated or upstream‑downstream relationship. Both the origin and authorized ASes are registered in the ARIN region, suggesting regional proximity, though no concrete customer‑provider or sibling relationship is evident.",Delegated/upstream-downstream announcement leading to a multi‑origin conflict with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
156.240.78.0/24,N/A,AS149641,['AS17561'],High,"The origin AS149641 announces the prefix while the ROA authorizes AS17561. Both ASes appear in RIPEstat and IRR records for this prefix, indicating a shared resource or delegated relationship, possibly provider‑customer or sibling. The absence of transfer history and the stable, long‑term association suggest the conflict is benign rather than a hijack.",Delegated/upstream‑downstream announcements or shared resource management between related organizations.,"['Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Shared Resource Management']",strong relationship
156.243.64.0/18,N/A,AS214413,['AS17561'],Medium,"The origin AS214413 and the authorized AS17561 are different entities with no clear evidence of a same‑organization or direct provider‑customer relationship. Both ASes participate in announcements of related prefixes, suggesting delegated or upstream‑downstream usage and multi‑origin configurations that can lead to partial ROA coverage. No malicious patterns or significant geographic mismatches are observed, indicating the invalid route is more likely due to operational or administrative overlap rather than an intentional hijack.",Partial ROA coverage caused by delegated/upstream‑downstream announcements and multi‑origin usage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.246.23.0/24,N/A,AS136255,"['AS17561', 'AS48031']",Medium,"The origin AS136255 and the authorized ASes AS17561 and AS48031 belong to different organizations and are geographically separated, with no known direct provider‑customer or sibling relationship. However, all three ASes operate in the APAC region and have historically announced the prefix at different times, indicating a possible historical or operational linkage.",Possible prefix transfer or outdated ROA configuration leading to multi‑origin announcements.,"['Prefix Transfer / Ownership Change', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfigured or Outdated ROAs)']",same region
156.246.98.0/24,N/A,AS5065,['AS17561'],Medium,"Both AS5065 (origin) and AS17561 (authorized) announce the prefix and have overlapping announcements, suggesting a possible transfer or delegation of the prefix and a multi‑origin situation. While there are hints of shared operational responsibilities, no direct evidence of a same‑organization, customer‑provider, or sibling relationship exists, and the ASes operate in different regions, making the conflict appear more likely a misconfiguration or ownership change rather than a malicious hijack.",Possible prefix transfer or misconfiguration resulting in multi‑origin with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Shared Resource Management)']",weak relationship
156.249.64.0/18,N/A,AS269070,['AS17561'],Low,"There is no clear business or organizational relationship between the origin AS (AS269070), a Brazilian ISP, and the authorized AS (AS17561), a Hong Kong‑based operator. Although both ASes have announced the prefix or its more specific prefixes and some data sources mention a common label (e.g., PROXYBR), no evidence of a customer‑provider, sibling, or ownership link exists. The presence of multiple origins and possible upstream‑downstream delegation suggests a configuration issue rather than an intentional shared operation.",A delegated/upstream‑downstream announcement or misconfiguration resulting in a multi‑origin conflict.,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",no relationship
156.253.183.0/24,N/A,AS207990,['AS328608'],Medium,"Both AS207990 and AS328608 have announced the prefix at different times, but there is no direct evidence of a same‑organization or provider‑customer relationship. The two ASes operate in the same geographic region (South Africa) and the pattern suggests possible delegated or upstream‑downstream arrangements, such as a prefix transfer or cloud‑service hosting, indicating a moderate likelihood of a benign conflict.",Delegated/upstream-downstream announcements possibly resulting from a prefix transfer or cloud service relationship.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)']",same region
156.253.215.0/24,N/A,AS207990,['AS328608'],Medium,"The origin AS (AS207990) and the authorized AS (AS328608) belong to different organizations, but both have been observed announcing the same /24 prefix. This suggests a possible business arrangement, such as a delegated or upstream‑downstream relationship, or a recent prefix transfer that has not been reflected in the ROA. No direct provider‑customer, sibling, or same‑organization link is evident, and the lack of AS‑path data prevents confirming a strong relationship, indicating a likely misconfiguration or operational overlap rather than a clear hijack.",The conflict likely stems from a misconfiguration or delegated/upstream‑downstream business arrangement between the two ASes.,"['Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Shared Operational Environment)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.253.221.0/24,N/A,AS214515,['AS328608'],Medium,"There is no direct evidence of a provider‑customer, sibling, or ownership relationship between AS214515 and AS328608. Both ASes announce prefixes in a similar geographic region, and the authorized AS has recently announced the prefix, suggesting a possible operational or delegated relationship, but the connection remains indirect.",Possible delegated/upstream-downstream or multi‑origin announcement with partial ROA coverage.,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.254.0.0/19,N/A,AS138195,"['AS55020', 'AS400619']",High,"The origin AS138195 and the authorized ASes AS55020 and AS400619 are all associated with Fastmos Co Limited, indicating a strong same‑organization relationship. Multiple ASes within this organization announce the prefix and its more specific prefixes, which points to internal routing adjustments or incomplete ROA updates rather than an external hijack.",Misconfiguration or incomplete ROA updates within the same organization (multi‑origin with partial ROA coverage).,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",same organization
156.254.20.0/23,N/A,AS138195,"['AS153706', 'AS214432', 'AS55020', 'AS400619']",High,"The origin AS (AS138195) and all authorized ASes (AS153706, AS214432, AS55020, AS400619) are associated with the same organization, Fastmos Co Limited, as indicated by shared holder names in RIPEstat records and a concentrated presence in Hong Kong. This intra‑organizational relationship suggests the invalid route results from internal resource reallocation or misconfiguration rather than a malicious hijack.",Misconfiguration due to internal reorganization leading to multi‑origin announcements with partial ROA coverage.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Organizational Reorganization/Resource Reallocation)']",same organization
157.254.9.0/24,N/A,AS214143,['AS212238'],Medium,"The origin AS (AS214143) and the authorized AS (AS212238) have no direct organizational or provider‑customer relationship, but historical announcements suggest a possible prefix transfer or multi‑origin situation, indicating the invalid route may stem from ownership change or incomplete ROA coverage rather than a malicious hijack.",Possible prefix transfer or multi‑origin situation with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential ROA Configuration Oversight)']",weak relationship
158.170.0.0/16,N/A,AS20015,['AS27897'],High,"Both AS20015 (FullCom S.A.) and AS27897 (Universidad de Santiago de Chile) are registered in Chile, and the 158.170.0.0/16 prefix is primarily geolocated there. Evidence of a provider‑customer or sibling relationship, combined with a likely recent prefix transfer or ownership change, suggests the announcement from AS20015 is a delegated upstream‑downstream announcement rather than a malicious hijack.",Provider‑customer relationship with possible prefix transfer.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
