prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
186.226.44.0/24,N/A,AS28208,['AS28343'],Medium,"AS28208 is announcing the prefix 186.226.44.0/24 while the ROA authorizes AS28343. Both ASes are located in Brazil and belong to the same larger block (186.226.32.0/20). A recent transfer of that block from Superline Telecomunicacoes Ltda to Unifique Telecomunicações S/A (AS28343) occurred on 2024-11-25, shortly before AS28208 began announcing the /24 on 2024-12-01, suggesting a possible delegated or upstream‑downstream relationship. However, there is no direct evidence of a provider‑customer or organizational link, so the conflict is assessed as medium likelihood of being benign.",Prefix transfer/ownership change leading to delegated upstream-downstream announcements.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Geographical Proximity']",,
186.237.47.0/24,N/A,AS268560,['AS28658'],Medium,"Both the origin AS (AS268560) and the authorized AS (AS28658) are registered in Brazil, making them geographically close, and the announced /24 is a more specific slice of the larger /20 block owned by the authorized AS. This suggests a possible delegated or upstream‑downstream relationship or a recent prefix transfer, but there is no concrete evidence of a direct provider‑customer, sibling, or organizational link, leading to a medium confidence in a benign conflict.",Delegated/upstream‑downstream announcement or prefix transfer resulting in partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",,
187.17.32.0/24,N/A,AS28262,['AS269073'],High,"The origin AS28262 has been announcing the /24 prefix since 2012, while the ROA authorizes the less specific block to AS269073. IRR records and LACNIC data show that AS269073 provides IP transit to AS28262 (customer‑provider), both operating in Brazil, indicating a close operational relationship. The invalidity stems from the more‑specific /24 exceeding the ROA’s max‑length, a common configuration issue in delegated announcements, suggesting a benign conflict.","Delegated/upstream‑downstream announcement, possibly due to outdated ROA configuration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
187.33.111.0/24,N/A,AS268560,['AS28658'],Medium,"The origin AS268560 and the authorized AS28658 are both registered in Brazil, indicating regional proximity. The announced /24 is a more‑specific of the ROA’s prefix, which often occurs in delegated or upstream‑downstream scenarios, and the prefix has previously been announced by AS28658. However, there is no publicly documented provider‑customer, sibling, or ownership relationship between the two ASes, and the mismatch may stem from a recent operational change or configuration error.",The invalid announcement likely results from a delegated/upstream‑downstream announcement associated with a recent prefix transfer or configuration mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)']",,
187.94.116.0/24,N/A,AS268560,['AS28658'],Medium,"The origin AS (AS268560) and the authorized AS (AS28658) are both Brazilian ISPs, indicating a possible local relationship such as a downstream delegation, and the ROA covers a larger prefix which suggests delegation. However, there is no direct evidence of a provider‑customer, sibling, or organizational tie, and the lack of AS‑path information prevents confirmation of the exact relationship.",Delegated/upstream-downstream announcement resulting in a multi-origin prefix with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
188.215.120.0/22,N/A,AS834,['AS5065'],Medium,"AS834 and the authorized AS5065 are not the same organization, but they share the same RIPE NCC parent block and the IRR record for the prefix is maintained by AS834, indicating a possible administrative or operational link. Both ASes announce the prefix, suggesting a delegated or multi‑origin arrangement, possibly after a recent transfer, without clear evidence of malicious hijacking.",Possible misconfiguration or delegated announcement due to an operational or administrative relationship between AS834 and AS5065.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
188.253.122.0/24,N/A,AS3813,"['AS38136', 'AS60808']",Low,"The origin AS3813 is not listed in the ROAs, and there is no known organizational, business, or geographic relationship with the authorized ASes AS38136 and AS60808; the latter are located in Hong Kong and Australia respectively, while AS3813 is associated with a South Korean university, indicating a low likelihood of a benign configuration and suggesting a hijack.",BGP hijack or misconfiguration,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional Operational Complexity)', 'Prefix Transfer / Ownership Change']",,
189.1.50.0/24,N/A,AS268560,['AS28658'],High,"Both AS268560 and AS28658 are Brazilian ISPs operating in the same region, and the announced /24 is a more specific of the /20 prefix announced by AS28658. This pattern is typical of a downstream customer announcing a delegated, more specific prefix without an updated ROA, indicating a legitimate provider‑customer relationship rather than a malicious hijack.","Delegated upstream‑downstream announcement where the origin AS, a downstream customer, announces a more specific prefix of the authorized AS without an updated ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
189.39.249.0/24,N/A,AS268560,['AS28658'],Medium,"The origin AS268560 and the authorized AS28658 are both Brazilian ISPs, indicating they operate in the same geographic region and may have an upstream‑downstream or other local relationship. The announcement is a more specific prefix, a pattern often used for delegated traffic engineering, and no clear evidence of malicious hijacking is observed. However, there is no concrete proof of a provider‑customer, sibling, or organizational tie, leaving the relationship uncertain.",Delegated/upstream‑downstream announcement with possible multi‑origin partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between related ASes)', 'Prefix Transfer / Ownership Change']",,
189.76.94.0/24,N/A,AS28355,['AS52907'],Medium,"Both AS28355 and the authorized AS52907 are registered in Brazil under LACNIC, and the /24 is a more specific of a larger block announced by AS52907, suggesting a possible upstream‑downstream or provider‑customer relationship. AS28355 has limited recent visibility, while AS52907 shows a consistent routing history, indicating the mismatch may stem from a misconfiguration or an unupdated ROA after a prefix ownership or administrative change rather than a malicious hijack.",Possible prefix ownership/administrative change or upstream‑downstream delegation leading to a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
189.84.246.0/24,N/A,AS268560,['AS28658'],Medium,"Both the origin AS (AS268560) and the authorized AS (AS28658) are registered in Brazil under LACNIC and the authorized AS announces the less specific prefix 189.84.240.0/20, while the origin AS announces the more specific 189.84.246.0/24. This pattern is typical of downstream or sibling ASes using more‑specific prefixes for traffic engineering, suggesting a configuration mismatch rather than a malicious hijack, although no direct provider‑customer or corporate relationship is documented.",A delegated or upstream‑downstream announcement of a more‑specific prefix without a matching ROA.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
190.111.97.0/24,N/A,AS270405,['AS273480'],High,"The origin AS (AS270405) and the authorized AS (AS273480) are Brazilian ISPs that recently transferred ownership of the prefix, indicating a close operational relationship such as a merger, acquisition, or customer‑provider arrangement. Historical announcements by AS273480 and the transfer of a related prefix (190.111.96.0/22) support that the invalid route likely results from a misconfiguration or delayed ROA update during the transition, with no signs of malicious activity.",Recent prefix transfer/ownership change causing a misconfiguration during a merger or partnership.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",,
