prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
185.199.148.0/24,N/A,AS61317,['AS834'],Medium,"The announcement is RPKI-invalid because the /24 prefix exceeds the maximum length /23 allowed by the ROA for AS834, indicating a possible misconfiguration. The origin AS61317 and the authorized AS834 appear to be involved in a recent prefix transfer or ownership change within the same country (Spain), but there is no clear documented provider‑customer or sibling relationship between them. This suggests the conflict likely stems from a transfer or delayed ROA update rather than a malicious hijack, resulting in a medium likelihood of being a benign conflict.","The conflict likely results from a recent prefix transfer or ownership change that was not reflected in the ROA, causing a misconfiguration.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration in ROA Setup)']",same region
185.199.213.0/24,N/A,AS396073,['AS834'],Medium,"The prefix 185.199.213.0/24 is announced by AS396073, which is not the authorized origin according to the ROA (AS834). Evidence points to a recent transfer of ownership between Trivinum Spain S.L. and Rackmarkt SL, and both ASes have announced related prefixes in the same geographic region (Spain). However, there is no direct provider‑customer, sibling, or organizational relationship identified between the two ASes, leaving the situation ambiguous and resulting in a medium likelihood of a benign conflict.",Recent prefix transfer or ownership change leading to a misconfiguration.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
185.221.22.0/24,N/A,AS147291,['AS212477'],Low,"There is no evidence of a close relationship between AS147291 (KHALIDGROUP-AS-AP) and AS212477 (ROYALE-AS, RoyaleHosting BV). They belong to different organizations and are registered in different regions (APNIC vs RIPE NCC), with no known provider‑customer, sibling, or shared infrastructure relationship. Consequently the invalid announcement is most likely a hijack or misconfiguration rather than a benign conflict.",Likely a hijack or misconfiguration due to lack of relationship between the ASes.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential unrecorded or transient cooperative announcement setup)', 'Prefix Transfer / Ownership Change']",no relationship
185.221.23.0/24,N/A,AS147291,['AS212477'],Low,"The origin AS (AS147291) and the authorized AS (AS212477) belong to different organizations (Khalid Group vs RoyaleHosting) and are registered in different regions (APNIC vs RIPE NCC), with no known provider‑customer, sibling, or other operational relationship. Although some analyses suggest possible delegation or a recent prefix transfer, there is no concrete evidence supporting such ties, making the conflict more indicative of a misconfiguration or unauthorized announcement.",Likely a misconfiguration or unauthorized announcement rather than a benign delegation.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Others (Potential Misconfiguration)', 'Hijacks']",no relationship
185.225.20.0/24,N/A,AS834,['AS61112'],Medium,"The origin AS (AS834) and the authorized AS (AS61112) show circumstantial evidence of a relationship, such as an IRR maintainer record (MAINT-AS834) and possible upstream‑downstream delegation, but there is no direct proof of a provider‑customer, sibling, or same‑organization link. This suggests the invalid announcement is likely due to a misconfiguration or administrative overlap rather than a malicious hijack, resulting in a medium benign likelihood.",Delegated/upstream-downstream misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Overlapping Administrative Responsibilities)', 'Prefix Transfer / Ownership Change']",weak relationship
185.246.112.0/24,N/A,AS59432,['AS834'],Medium,"AS59432 announced the /24 prefix while the ROA authorizes AS834. There is no direct business or organizational link between the two ASes, but the prefix was previously announced by AS834 and has undergone a documented transfer of ownership from Soltia Consulting Limited to Invermae Solutions SL. This history suggests the current invalid announcement may stem from a recent ownership change or delegated upstream/downstream announcement that has not yet been reflected in the ROA, making a benign conflict more plausible than a malicious hijack.",The invalid route likely results from a recent prefix ownership transfer or delegated announcement that has not been reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
185.33.47.0/24,N/A,AS200697,['AS199826'],Medium,"The origin AS (AS200697), a Russian university network, announces a prefix that is authorized in the ROA for AS199826, an Iraqi telecommunications operator. No clear same‑organization or direct provider‑customer link is evident, and the ASes are in different countries, but the presence of delegated/upstream‑downstream announcements and the possibility of indirect relationships or misconfigurations suggest the invalid route may stem from operational overlap rather than a malicious hijack, leading to a medium benign likelihood.",Delegated or indirect upstream‑downstream announcement causing a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Potential Indirect Relationship or Misconfiguration', 'Prefix Transfer / Ownership Change', 'Hijacks']",weak relationship
188.215.120.0/22,N/A,AS834,['AS5065'],Medium,"AS834 and the authorized AS5065 are not known to share ownership or be part of the same organization, and no direct provider‑customer or sibling relationship is evident. However, IRR records show a maint‑by entry for AS834 on the prefix and the same prefix is announced by AS5065, suggesting a possible administrative or operational link such as a delegated upstream/downstream arrangement or a misconfiguration. The evidence points to a circumstantial relationship rather than a clear hijack.",Operational agreement or misconfiguration between the two ASes.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
188.66.27.0/24,N/A,AS834,"['AS5511', 'AS198883', 'AS212815', 'AS215727', 'AS216159']",Medium,"AS834 is not listed as an authorized origin in the ROAs for 188.66.27.0/24, but it has maintained IRR objects for the prefix and has historically announced it. Overlapping maintenance records with authorized ASes such as AS5511 suggest a delegated or upstream‑downstream relationship, and the prefix has experienced ownership or transfer events, resulting in multi‑origin announcements with partial ROA coverage. No direct provider‑customer, sibling, or same‑organization link is evident, leaving the relationship indirect.",Delegated/upstream-downstream announcements leading to multi-origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
190.111.143.0/24,N/A,AS269530,['AS270426'],High,"Both AS269530 and AS270426 are registered in the LACNIC region and located in Brazil. AS270426 is a larger provider, and AS269530 appears to be its customer, announcing a more specific /24 prefix that falls within the larger /22 prefix owned by AS270426. This pattern is typical of delegated upstream‑downstream announcements between a provider and its customer, indicating a close operational relationship rather than a malicious hijack.",Delegated upstream-downstream announcement by a customer AS of its provider.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
190.26.204.0/24,N/A,AS32034,['AS19429'],Medium,"The origin AS (AS32034) and the authorized AS (AS19429) are both located in Colombia and have been announcing the /24 prefix since 2013 with no recent transfer history, indicating a stable operational relationship. Although there is no direct evidence of a same‑organization or confirmed provider‑customer link, the geographic and regional proximity suggests a likely delegated or upstream‑downstream arrangement, making the conflict probably benign but not definitively strong.",Likely a delegated/upstream‑downstream announcement or traffic‑engineering deaggregation causing a multi‑origin situation with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Regional Operational Setup)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
